date,time,temp,hum,dust,mdust
2024-11-21,06:53:50,23,49,23,23
2024-11-21,06:54:19,23,49,23,20
2024-11-21,06:54:48,23,49,23,22
2024-11-21,06:55:17,23,49,21,21
2024-11-21,06:55:47,23,49,21,21
2024-11-21,06:56:16,23,49,25,23
2024-11-21,06:56:45,23,49,23,23
2024-11-21,06:57:14,23,49,23,20
2024-11-21,06:57:44,23,49,21,20
2024-11-21,06:58:13,23,49,21,21
2024-11-21,06:58:42,23,49,25,25
2024-11-21,06:59:11,23,49,21,21
2024-11-21,06:59:41,23,49,25,25
2024-11-21,07:00:10,23,49,22,21
2024-11-21,07:00:39,23,49,26,25
2024-11-21,07:01:08,23,49,25,24
2024-11-21,07:01:38,23,49,25,23
2024-11-21,07:02:07,23,49,23,23
2024-11-21,07:02:36,23,49,22,22
2024-11-21,07:03:06,23,49,18,18
2024-11-21,07:03:35,23,49,23,23
2024-11-21,07:04:04,23,49,21,21
2024-11-21,07:04:33,23,49,22,21
2024-11-21,07:05:03,23,49,25,22
2024-11-21,07:05:32,23,49,23,23
2024-11-21,07:06:01,23,49,26,23
2024-11-21,07:06:30,23,49,25,24
2024-11-21,07:07:00,23,49,24,24
2024-11-21,07:07:29,23,49,26,24
2024-11-21,07:07:58,23,49,26,26
2024-11-21,07:08:27,23,49,23,23
2024-11-21,07:08:57,23,49,25,24
2024-11-21,07:09:26,23,49,23,23
2024-11-21,07:09:55,23,49,23,22
2024-11-21,07:10:24,23,49,24,24
